Date,Author,File
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/MethodDeclaration.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ParameterizedQualifiedTypeReference.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ParameterizedSingleTypeReference.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ReferenceExpression.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/TypeReference.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/MethodBinding.java
2015-05-08,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/SourceTypeBinding.java
2015-05-08,Markus Keller,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/GenericsRegressionTest_1_8.java
2015-05-08,Markus Keller,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ClassFile.java
2015-05-08,Markus Keller,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/util/Util.java
2015-05-06,Stephan Herrmann,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/NullTypeAnnotationTest.java
2015-05-06,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/LookupEnvironment.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/ASTConverterBugsTest.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/ASTModelBridgeTests.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/LocalVariableBinding.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/VariableBinding.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/LocalVariable.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/BindingKeyParser.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/BindingKeyResolver.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/util/KeyKind.java
2015-05-08,Sasikanth Bharadwaj,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/LambdaRegressionTest.java
2015-05-08,Sasikanth Bharadwaj,org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ReferenceExpression.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/ASTModelBridgeTests.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/CompilationUnitResolver.java
2015-05-05,Stephan Herrmann,org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/TypeParameter.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/RunFormatterTests.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterBugs18Tests.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterBugsTests.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/eclipse.jdt.ui.patch.txt
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatter.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/LineBreaksPreparator.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/SpacePreparator.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapExecutor.java
2015-04-29,Mateusz Matela,org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java
